number,value,datetime_start,datetime_complete,duration,params_ours_area_inv,params_ours_late_aggression,params_ours_mean_dist_all,params_ours_n_cross,params_ours_prod,params_ours_ships,params_ours_wnn_close_res,params_tgt_area_inv,params_tgt_late_aggression,params_tgt_mean_dist_all,params_tgt_n_cross,params_tgt_prod,params_tgt_ships,params_tgt_wnn_close_res,user_attrs_mean_rank,user_attrs_median_rank,user_attrs_top1,user_attrs_top10,user_attrs_top3,user_attrs_top5,user_attrs_total_attack,user_attrs_total_reinforce,state
27,0.3469387755102041,2026-05-20 21:52:43.882314,2026-05-20 21:52:45.634215,0 days 00:00:01.751901,-0.45892843858649623,-0.8381955197958791,0.2135109988329745,0.34307326873034905,-1.1341367975697976,0.1395446623568426,0.3895626929260778,-0.20027907720482152,1.0377230775725699,0.9071494176342049,0.7767590812840761,0.23524015025979278,-0.7082240687043974,0.8522598323200649,7.510204081632653,6.0,0.17346938775510204,0.7448979591836735,0.3469387755102041,0.47959183673469385,98,92,COMPLETE
28,0.3163265306122449,2026-05-20 21:52:45.634379,2026-05-20 21:52:47.385737,0 days 00:00:01.751358,-0.6795042979015884,-0.669844472962554,0.8614485489971878,-0.16685717261537833,-1.093634150190036,0.5819137261386159,-0.3719165543400756,0.8931472124298421,0.2274048592401511,0.5935460778930187,1.2209456264706602,-0.4015959771714348,-1.4741678109524903,1.4978804312513172,8.071428571428571,6.0,0.09183673469387756,0.6836734693877551,0.3163265306122449,0.4489795918367347,98,92,COMPLETE
29,0.32653061224489793,2026-05-20 21:52:47.385898,2026-05-20 21:52:49.139625,0 days 00:00:01.753727,-0.35191175258770113,-0.15257927389189108,1.1305440902794324,-1.1901482438186521,-0.8065738318935916,-1.1409984761960164,1.4982404822630557,1.4486768747007757,0.574766541075612,0.6976546956883399,0.8374653154327382,-1.4723427230107107,-0.9497387543461884,0.08114908959962414,9.061224489795919,8.0,0.09183673469387756,0.6224489795918368,0.32653061224489793,0.4489795918367347,98,92,COMPLETE
30,0.30612244897959184,2026-05-20 21:52:49.139788,2026-05-20 21:52:50.929489,0 days 00:00:01.789701,-1.0457805003773952,-0.1570043081584618,0.1409999757889235,-0.5323776710961391,-1.2574582224089665,0.8666887996131831,0.21332803209709778,0.13919465253923285,0.22224446596253233,0.29513844589397775,0.38443059425701287,-0.6250007247217617,-0.15962316831734652,0.6929995692820468,8.448979591836734,7.0,0.10204081632653061,0.673469387755102,0.30612244897959184,0.45918367346938777,98,92,COMPLETE
31,0.3469387755102041,2026-05-20 21:52:50.929660,2026-05-20 21:52:52.809601,0 days 00:00:01.879941,-0.11491462960242621,-0.740933872768373,0.9984527991923164,-0.2247687594618078,-0.11483624576055722,1.4804891515226106,-0.08853053290893767,0.3284804106224861,1.0361443532727825,0.44107718792298267,1.3023660977958893,-0.34152315850660225,-0.49873033002074985,1.2229281815936404,7.948979591836735,6.0,0.12244897959183673,0.673469387755102,0.3469387755102041,0.4387755102040816,98,92,COMPLETE
32,0.35714285714285715,2026-05-20 21:52:52.809855,2026-05-20 21:52:54.610543,0 days 00:00:01.800688,-0.0010988022548474835,-0.8811725185724437,0.7276298125364342,-0.4365947599608994,-0.48310828277867635,1.0616330477188334,-0.29925664131217417,0.3396593217705649,0.28385486221184986,0.5129249364557206,0.9269559186684102,-0.2558820551414077,-0.5241978364714365,1.0253960987369288,7.887755102040816,6.0,0.12244897959183673,0.6836734693877551,0.35714285714285715,0.4489795918367347,98,92,COMPLETE
33,0.3673469387755102,2026-05-20 21:52:54.610697,2026-05-20 21:52:56.448034,0 days 00:00:01.837337,-0.2900472022810376,-0.5025389779988565,1.2350760613290237,-0.620904643276688,0.15478184177573942,0.8099978134304071,0.012551238307749124,0.8219234617504607,0.5875825916732629,0.2714140514147566,1.2791666813927407,-0.7501031307499962,-0.6525012532721104,1.2589801183341611,8.418367346938776,6.0,0.08163265306122448,0.673469387755102,0.3673469387755102,0.4489795918367347,98,92,COMPLETE
34,0.3469387755102041,2026-05-20 21:52:56.448190,2026-05-20 21:52:58.218554,0 days 00:00:01.770364,0.3644227012512004,-0.28123643526799946,1.4769838503509773,-1.0462882660989075,-0.06807065362382364,-1.4298373920988912,-0.222451028344491,1.0377642071373108,-0.702770984724524,-0.0798725887801251,1.3464452311315496,0.22987252737325625,-0.27563621692557544,0.8987795383858165,8.33673469387755,7.0,0.12244897959183673,0.6632653061224489,0.3469387755102041,0.4387755102040816,98,92,COMPLETE
35,0.2857142857142857,2026-05-20 21:52:58.218704,2026-05-20 21:53:00.038957,0 days 00:00:01.820253,-0.8630256518668643,-0.6127807896991697,0.688015777348354,0.12994644718400344,-0.8359661101089373,1.3212344873978732,-0.4912732148052793,0.20672128036078238,0.10487680014465117,0.6556583155190334,0.5964328210407023,-0.17032219356065917,1.4758693960897444,0.5297901782128421,8.408163265306122,8.0,0.08163265306122448,0.6428571428571429,0.2857142857142857,0.42857142857142855,98,92,COMPLETE
36,0.336734693877551,2026-05-20 21:53:00.039116,2026-05-20 21:53:01.787045,0 days 00:00:01.747929,0.11531685199284647,0.6235392759022743,0.9987030775715302,-0.02937119060817972,-0.4002325145182457,1.0890465723528304,0.39160033378158926,0.5645839280951821,0.44881314883173423,-0.17245275825401046,1.0419183476559546,-0.46441541523344837,-0.1747847280429433,1.1407986582714627,8.73469387755102,6.5,0.12244897959183673,0.6428571428571429,0.336734693877551,0.45918367346938777,98,92,COMPLETE
37,0.336734693877551,2026-05-20 21:53:01.787188,2026-05-20 21:53:03.546402,0 days 00:00:01.759214,-0.4745008306381353,-0.9829518543361919,-0.24772505647972148,-0.6458950731818367,0.6582715738218654,1.4959227976778582,-0.030971713035800708,0.6451774020225418,1.0469114314445969,0.9522982187987872,1.4455621894391444,-0.6968052500000315,0.05242687907053911,1.392377465333596,7.908163265306122,6.0,0.12244897959183673,0.7040816326530612,0.336734693877551,0.45918367346938777,98,92,COMPLETE
38,0.336734693877551,2026-05-20 21:53:03.546555,2026-05-20 21:53:05.296034,0 days 00:00:01.749479,-0.025345095121202546,-1.2325974858043824,0.2494060467904633,0.2502520596785931,0.20003709017334764,0.7333615442036359,0.1105057818207636,-0.17629099874759419,-0.003181239173244088,0.2239712173371634,0.7084711164352953,0.16199267908101722,-0.9369142945492017,0.7470558652877732,7.6938775510204085,5.5,0.1326530612244898,0.7244897959183674,0.336734693877551,0.5,98,92,COMPLETE
