episode_id,step,player_idx,launch_idx,n_players,n_planets,n_fleets,pro_src_id,pro_target_id,pro_ships,pro_angle,pro_action_type,pro_target_owner,pro_target_priority,pro_target_zone,pro_rank_in_targets,n_targets,heur_top_target_id,heur_top_priority,heur_top1,heur_top3,heur_top5,heur_top10,heur_n_moves,heur_action_src_id,heur_action_target_id,heur_action_type,heur_action_ships,src_match,target_match,type_match,heur_idle,error,phase,final_reward,sanity_owner_match,sanity_ship_match,sanity_fleet_count_match,sanity_n_planets_compared,proj_owner_accuracy,proj_active_accuracy,proj_n_active,proj_horizon
75710307,67,2,0,4,28,21,19,2,22,-1.7539,reinforce,2,-0.2593,rear,,19,23.0,2.8275,False,False,False,False,7,19.0,2.0,reinforce,14.0,True,True,True,False,,0.3964,-1.0,,,,,,,,
75714286,362,0,15,4,32,605,27,5,4,-2.3967,reinforce,0,-0.4934,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9891,1.0,,,,,,,,
75714286,356,0,7,4,32,541,11,31,2,0.9544,reinforce,0,,,,0,,,False,False,False,False,2,15.0,28.0,neutral,196.0,False,False,False,False,,0.9727,1.0,,,,,,,,
75714286,362,0,1,4,32,605,1,5,5,-1.6802,reinforce,0,-0.4934,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9891,1.0,,,,,,,,
75716279,186,3,1,4,28,32,17,25,45,0.0383,enemy,2,0.1604,frontline,,9,24.0,1.6307,False,False,False,False,3,22.0,10.0,neutral,16.0,False,False,False,False,,0.8122,1.0,,,,,,,,
75716279,165,2,1,4,32,32,16,24,6,-2.1899,reinforce,2,-0.7455,priority_target,6.0,17,18.0,0.2969,False,False,False,True,0,,,,,False,False,False,True,,0.7205,-1.0,,,,,,,,
75716279,39,3,0,4,28,10,27,26,18,0.7562,enemy,2,-0.5104,periphery,14.0,24,25.0,2.1554,False,False,False,False,3,27.0,26.0,enemy,7.0,True,True,True,False,,0.1703,1.0,,,,,,,,
75717722,482,0,5,4,32,274,6,10,5,1.3963,reinforce,0,-0.8011,rear,,4,11.0,-2.0639,False,False,False,False,0,,,,,False,False,False,True,,0.9659,-1.0,,,,,,,,
75717722,363,3,4,4,32,0,7,3,404,-0.7248,enemy,0,-0.2247,periphery,20.0,28,4.0,1.3092,False,False,False,False,0,,,,,False,False,False,True,,0.7275,-1.0,,,,,,,,
75717722,483,0,23,4,32,297,27,2,3,0.0,reinforce,0,-1.3506,rear,,4,5.0,-1.8803,False,False,False,False,0,,,,,False,False,False,True,,0.9679,-1.0,1.0,1.0,True,28.0,,,,
75717722,361,3,0,4,32,0,5,25,205,0.0617,enemy,0,0.6247,periphery,3.0,28,4.0,1.3281,False,True,True,True,0,,,,,False,False,False,True,,0.7234,-1.0,,,,,,,,
75717722,345,3,6,4,28,0,5,11,188,-1.3295,enemy,1,-0.8152,priority_target,24.0,28,22.0,0.569,False,False,False,False,0,,,,,False,False,False,True,,0.6914,-1.0,,,,,,,,
