n_planets,n_planet_diffs,pct_planets_match,n_pred_fleets,n_real_fleets,fleet_count_match,n_extra_pred_fleets,n_missing_pred_fleets,n_total_launches,n_active_players,episode_id,step,n_players,phase
24,0,1.0,27,27,True,0,0,2,2,76475049,58,4,0.2974
28,0,1.0,15,15,True,0,0,5,3,76475658,42,4,0.3307
28,0,1.0,49,49,True,0,0,3,2,76480194,171,4,0.6357
20,0,1.0,16,16,True,0,0,2,1,76480597,46,4,0.3286
20,0,1.0,9,9,True,0,0,1,1,76480597,21,4,0.15
28,1,0.9643,22,20,False,2,0,5,2,76483783,483,4,0.9679
24,0,1.0,19,19,True,0,0,3,2,76483783,321,4,0.6433
36,0,1.0,31,31,True,0,0,6,2,76501532,117,2,0.6062
20,1,0.95,57,58,False,0,1,5,2,76510627,47,4,0.178
20,1,0.95,92,93,False,0,1,8,1,76510627,232,4,0.8788
20,1,0.95,63,64,False,0,1,9,2,76510627,184,4,0.697
24,1,0.9583,58,59,False,0,1,4,3,76510627,65,4,0.2462
32,0,1.0,310,310,True,0,0,31,1,76527854,117,2,0.7852
32,0,1.0,309,309,True,0,0,32,1,76527854,139,2,0.9329
32,0,1.0,320,320,True,0,0,32,1,76527854,145,2,0.9732
32,1,0.9688,168,169,False,0,1,23,1,76527854,96,2,0.6443
32,0,1.0,300,300,True,0,0,32,1,76527854,131,2,0.8792
28,0,1.0,185,185,True,0,0,22,2,76538658,200,4,0.7692
28,0,1.0,421,421,True,0,0,19,1,76538658,226,4,0.8692
28,2,0.9286,395,395,True,1,1,21,2,76538658,222,4,0.8538
28,1,0.9643,42,41,False,1,0,5,2,76538658,145,4,0.5577
28,1,0.9643,74,75,False,0,1,7,4,76538658,182,4,0.7
32,2,0.9375,605,602,False,3,0,25,1,76538658,259,4,0.9962
28,0,1.0,221,221,True,0,0,22,3,76538658,203,4,0.7808
28,1,0.9643,133,134,False,0,1,22,2,76538658,197,4,0.7577
32,0,1.0,18,18,True,0,0,5,2,76559251,214,2,0.7379
32,0,1.0,20,20,True,0,0,0,0,76559251,207,2,0.7138
32,17,0.4688,29,15,False,16,2,17,2,76593975,132,4,0.4244
32,12,0.625,26,14,False,12,0,13,2,76593975,188,4,0.6045
