seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
8,gar_off,sub2,1,0,1.0,-1.0,192,36,0,4574.0,0.0,88.0,0.0,4574.0,25.5,0.5205479452054794,0.5714285714285714,0.6311926605504588,0.5063291139240507,1.0,1.0,1.0,1.0
11,gar_off,sub2,1,0,1.0,-1.0,201,24,0,3514.0,0.0,60.0,0.0,3514.0,11.7,0.7394366197183099,0.6153846153846154,0.8178835110746514,0.7755102040816326,1.0,1.0,1.0,1.0
6,gar_off,sub2,1,0,1.0,-1.0,500,23,1,34360.0,1948.0,83.0,5.0,32412.0,34.4,0.5981524249422633,0.6206896551724138,0.8436563436563437,0.8863636363636364,0.9546818727490997,0.9431818181818182,0.9463479123058279,0.9431818181818182
15,gar_off,sub2,0,0,-1.0,1.0,145,0,18,0.0,1315.0,0.0,44.0,-1315.0,8.0,0.4605263157894737,0.36363636363636365,0.4151376146788991,0.5,0.0,0.0,0.0,0.0
13,gar_off,sub2,1,0,1.0,-1.0,144,32,0,2557.0,0.0,60.0,0.0,2557.0,15.5,0.5,0.5714285714285714,0.7208176438945669,0.711864406779661,1.0,1.0,1.0,1.0
10,gar_off,sub2,0,0,-1.0,1.0,176,0,40,0.0,4359.0,0.0,108.0,-4359.0,28.3,0.3858695652173913,0.52,0.4674124513618677,0.40384615384615385,0.0,0.0,0.0,0.0
12,gar_off,sub2,0,0,-1.0,1.0,200,0,31,0.0,2479.0,0.0,82.0,-2479.0,28.6,0.5362035225048923,0.5263157894736842,0.5110692416391899,0.5263157894736842,0.0,0.0,0.0,0.0
17,gar_off,sub2,1,0,1.0,-1.0,163,28,0,2616.0,0.0,60.0,0.0,2616.0,6.2,0.45569620253164556,0.6666666666666666,0.8484398216939079,0.9,1.0,1.0,1.0,1.0
18,gar_off,sub2,0,0,-1.0,1.0,141,0,21,0.0,1859.0,0.0,46.0,-1859.0,8.8,0.58125,0.5714285714285714,0.20451977401129945,0.275,0.0,0.0,0.0,0.0
14,gar_off,sub2,0,0,-1.0,1.0,154,0,41,0.0,4548.0,0.0,89.0,-4548.0,27.9,0.6025641025641025,0.375,0.26090950849793293,0.27906976744186046,0.0,0.0,0.0,0.0
20,gar_off,sub2,1,0,1.0,-1.0,225,20,0,3540.0,0.0,56.0,0.0,3540.0,12.0,0.5,0.5,0.6102117061021171,0.5789473684210527,0.9232245681381958,1.0,1.0,1.0
22,gar_off,sub2,1,0,1.0,-1.0,155,20,0,3388.0,0.0,64.0,0.0,3388.0,8.8,0.5181159420289855,0.5925925925925926,0.6837853433352568,0.65625,1.0,1.0,1.0,1.0
16,gar_off,sub2,1,0,1.0,-1.0,219,36,0,2910.0,0.0,56.0,0.0,2910.0,31.8,0.4732142857142857,0.4444444444444444,0.6883384932920537,0.6521739130434783,0.9571095571095571,0.9821428571428571,1.0,1.0
