seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
16,prio_1.0,sub2,0,0,-1.0,1.0,184,0,28,0.0,3332.0,0.0,96.0,-3332.0,24.2,0.6341991341991342,0.6097560975609756,0.473731884057971,0.4375,0.0,0.0,0.0,0.0
21,prio_1.0,sub2,0,0,-1.0,1.0,234,0,24,0.0,2107.0,0.0,52.0,-2107.0,18.8,0.5514705882352942,0.5789473684210527,0.5331412103746398,0.48,0.2630945213726671,0.3269230769230769,0.0,0.0
19,prio_1.0,sub2,1,0,1.0,-1.0,224,32,0,6297.0,0.0,84.0,0.0,6297.0,29.4,0.5138888888888888,0.5,0.5170509905813576,0.5421686746987951,0.9941480981318929,1.0,1.0,1.0
20,prio_1.0,sub2,0,0,-1.0,1.0,186,0,32,0.0,2467.0,0.0,68.0,-2467.0,25.3,0.5108108108108108,0.5,0.42635270541082165,0.47058823529411764,0.0,0.0,0.0,0.0
23,prio_1.0,sub2,0,0,-1.0,1.0,142,0,32,0.0,2952.0,0.0,84.0,-2952.0,18.4,0.4411134903640257,0.5121951219512195,0.2991150442477876,0.35365853658536583,0.0,0.0,0.0,0.0
26,prio_1.0,sub2,1,0,1.0,-1.0,183,28,0,4824.0,0.0,80.0,0.0,4824.0,8.9,0.4264705882352941,0.8571428571428571,0.672972972972973,0.5735294117647058,1.0,1.0,1.0,1.0
27,prio_1.0,sub2,0,0,-1.0,1.0,189,0,20,0.0,2198.0,0.0,48.0,-2198.0,11.3,0.5,0.5,0.40476190476190477,0.44680851063829785,0.0,0.0,0.0,0.0
28,prio_1.0,sub2,0,0,-1.0,1.0,125,0,28,0.0,2960.0,0.0,84.0,-2960.0,11.8,0.5247747747747747,0.5151515151515151,0.27314390467461047,0.13095238095238096,0.0,0.0,0.0,0.0
22,prio_1.0,sub2,0,0,-1.0,1.0,258,0,31,0.0,3318.0,0.0,79.0,-3318.0,38.5,0.6,0.7,0.5454545454545454,0.4594594594594595,0.35896269335759784,0.39473684210526316,0.0,0.0
24,prio_1.0,sub2,1,0,1.0,-1.0,203,36,0,3999.0,0.0,76.0,0.0,3999.0,30.5,0.62751677852349,0.5652173913043478,0.6026727509778357,0.5616438356164384,0.9979386755990725,1.0,1.0,1.0
