candidate_a_idx,candidate_a_name,candidate_b_idx,candidate_b_name,match_id,seed,points_a,points_b,win_a,draw,win_b,reward_our,reward_sub,ships_our_final,ships_sub_final,ships_diff,steps,match_time_sec
1,winner_seed4,6,winner_seed36,2,2602,1.0,0.0,1,0,0,1,-1,2471,0,2471,199,8.8
1,winner_seed4,6,winner_seed36,4,2604,1.0,0.0,1,0,0,1,-1,1730,0,1730,178,5.9
1,winner_seed4,5,winner_seed22,17,2517,1.0,0.0,1,0,0,1,-1,2329,0,2329,437,23.7
1,winner_seed4,6,winner_seed36,6,2606,0.0,1.0,0,0,1,-1,1,0,2536,-2536,211,7.8
1,winner_seed4,6,winner_seed36,7,2607,1.0,0.0,1,0,0,1,-1,2844,0,2844,182,6.6
1,winner_seed4,6,winner_seed36,3,2603,1.0,0.0,1,0,0,1,-1,4779,0,4779,322,22.1
1,winner_seed4,6,winner_seed36,5,2605,0.0,1.0,0,0,1,-1,1,0,1441,-1441,278,15.9
1,winner_seed4,6,winner_seed36,8,2608,0.0,1.0,0,0,1,-1,1,0,1514,-1514,271,15.6
1,winner_seed4,6,winner_seed36,10,2610,0.0,1.0,0,0,1,-1,1,0,3294,-3294,237,12.4
1,winner_seed4,6,winner_seed36,11,2611,0.0,1.0,0,0,1,-1,1,0,3574,-3574,254,10.0
1,winner_seed4,6,winner_seed36,13,2613,0.0,1.0,0,0,1,-1,1,0,1014,-1014,280,9.0
1,winner_seed4,6,winner_seed36,12,2612,1.0,0.0,1,0,0,1,-1,2594,0,2594,276,14.8
1,winner_seed4,6,winner_seed36,9,2609,0.0,1.0,0,0,1,-1,1,0,4552,-4552,284,25.5
1,winner_seed4,6,winner_seed36,17,2617,0.0,1.0,0,0,1,-1,1,0,1305,-1305,160,3.6
1,winner_seed4,6,winner_seed36,16,2616,0.0,1.0,0,0,1,-1,1,0,2425,-2425,240,6.8
1,winner_seed4,6,winner_seed36,19,2619,1.0,0.0,1,0,0,1,-1,1716,0,1716,151,5.1
1,winner_seed4,6,winner_seed36,15,2615,0.0,1.0,0,0,1,-1,1,0,3784,-3784,395,22.3
1,winner_seed4,7,winner_seed39,0,2700,1.0,0.0,1,0,0,1,-1,2155,0,2155,194,12.4
1,winner_seed4,6,winner_seed36,14,2614,1.0,0.0,1,0,0,1,-1,5617,0,5617,284,26.7
1,winner_seed4,6,winner_seed36,18,2618,0.0,1.0,0,0,1,-1,1,0,3234,-3234,312,19.3
