seed,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,time_sec,phase,trial,w_activity_weight,w_idle_floor,w_distance_comfort,w_risk_tolerance,w_ships_weight,w_eta_bonus,w_priority_bonus,w_stress_top_k,w_stress_gamma
65,-1,1,0,0,234,0,2150,-2150,49.53,1,0,0.7394,28.0,0.5364,1.0,3.8602,22.3594,0.4134,5.0,0.7526
65,1,-1,1,0,245,4721,0,4721,17.48,1,1,0.7503,29.0,0.0243,1.0,6.7624,17.6138,2.7209,2.0,0.8532
61,1,-1,1,0,166,1765,0,1765,6.58,1,0,2.9372,24.0,0.6539,0.0,5.5127,46.4946,2.2174,4.0,0.5767
63,1,-1,1,0,203,4898,0,4898,17.56,1,0,2.6343,21.0,0.4065,0.0,7.6127,22.4888,2.305,3.0,0.4756
66,-1,1,0,0,171,0,671,-671,15.13,1,0,0.3916,36.0,0.0595,1.0,5.8262,25.1254,2.9101,3.0,0.4289
66,-1,1,0,0,160,0,3369,-3369,23.53,1,1,0.606,37.0,0.2224,0.0,1.5208,47.1162,2.7514,1.0,0.6201
66,-1,1,0,0,160,0,521,-521,11.31,1,2,1.9764,37.0,0.2734,0.0,5.9652,32.5671,2.9673,1.0,0.5074
66,1,-1,1,0,213,4998,0,4998,34.36,1,3,2.1682,30.0,0.6598,0.0,4.0897,48.4343,0.6415,1.0,0.8823
57,1,-1,1,0,156,5821,0,5821,7.5,1,0,1.2119,16.0,0.4196,0.0,1.9875,40.3951,0.7535,4.0,0.6185
68,-1,1,0,0,134,0,2984,-2984,12.98,1,0,2.8028,22.0,0.5563,0.0,3.2917,38.5405,1.9143,1.0,0.6266
68,1,-1,1,0,132,3342,0,3342,6.59,1,1,1.5036,33.0,0.0281,0.0,1.2035,35.2915,1.586,4.0,0.8696
69,-1,1,0,0,152,0,952,-952,10.1,1,0,2.4815,16.0,0.6448,1.0,3.9514,25.9035,1.8515,2.0,0.6778
69,-1,1,0,0,141,0,2232,-2232,15.63,1,1,2.0937,27.0,0.1608,1.0,3.3299,25.3414,0.8332,2.0,0.7838
69,-1,1,0,0,207,0,927,-927,11.5,1,2,2.1739,34.0,0.2452,0.0,2.5051,40.4164,0.7163,5.0,0.571
69,-1,1,0,0,151,0,1254,-1254,10.78,1,3,0.1922,23.0,0.5329,0.0,2.3451,23.5532,2.6757,3.0,0.4427
69,-1,1,0,0,154,0,549,-549,11.8,1,4,2.8534,40.0,0.5626,0.0,3.3648,30.1267,2.0012,3.0,0.7437
69,1,-1,1,0,193,3913,0,3913,17.22,1,5,1.4485,25.0,0.6567,0.0,5.6036,40.7486,1.8554,1.0,0.4011
2,1,-1,1,0,162,1897,0,1897,13.37,-1,-1,,,,,,,,,
4,1,-1,1,0,162,4537,0,4537,17.69,-1,-1,,,,,,,,,
14,-1,1,0,0,156,0,2026,-2026,17.76,-1,-1,,,,,,,,,
3,-1,1,0,0,170,0,789,-789,19.09,-1,-1,,,,,,,,,
28,-1,1,0,0,158,0,895,-895,9.2,-1,-1,,,,,,,,,
15,1,-1,1,0,201,5217,0,5217,19.06,-1,-1,,,,,,,,,
18,-1,1,0,0,175,0,587,-587,15.97,-1,-1,,,,,,,,,
32,-1,1,0,0,119,0,1513,-1513,8.44,-1,-1,,,,,,,,,
29,1,-1,1,0,187,3503,0,3503,20.73,-1,-1,,,,,,,,,
6,1,-1,1,0,281,10047,0,10047,40.04,-1,-1,,,,,,,,,
35,1,-1,1,0,191,2912,0,2912,12.79,-1,-1,,,,,,,,,
36,1,-1,1,0,164,4293,0,4293,13.04,-1,-1,,,,,,,,,
33,-1,1,0,0,169,0,1331,-1331,22.4,-1,-1,,,,,,,,,
39,-1,1,0,0,222,0,1379,-1379,18.96,-1,-1,,,,,,,,,
38,-1,1,0,0,184,0,1902,-1902,19.73,-1,-1,,,,,,,,,
44,1,-1,1,0,236,5067,0,5067,22.02,-1,-1,,,,,,,,,
48,-1,1,0,0,220,0,3254,-3254,21.63,-1,-1,,,,,,,,,
58,1,-1,1,0,213,3143,0,3143,16.64,-1,-1,,,,,,,,,
59,1,-1,1,0,200,3656,0,3656,15.5,-1,-1,,,,,,,,,
64,1,-1,1,0,237,5820,0,5820,16.14,-1,-1,,,,,,,,,
