seed,w_wnn_close_res,w_mean_dist_all,w_ships,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
1001,0.8,-0.4,-0.3,1,-1,1,0,263,4214,0,4214,26.4,1
1000,0.8,-0.6,-0.7,1,-1,1,0,241,3522,0,3522,12.3,1
1002,0.6,-0.8,-0.9,-1,1,0,0,175,0,2569,-2569,16.9,1
1000,0.2,-0.4,-0.1,-1,1,0,0,137,0,404,-404,5.9,1
1002,0.8,-0.6,-0.7,-1,1,0,0,150,0,682,-682,9.3,1
1001,0.8,-0.6,-0.7,-1,1,0,0,138,0,640,-640,16.5,1
1000,0.8,-0.6,-0.3,1,-1,1,0,182,4014,0,4014,14.3,1
1001,0.2,-0.4,-0.1,-1,1,0,0,179,0,859,-859,20.0,1
1001,0.8,-0.6,-0.3,-1,1,0,0,192,0,975,-975,19.2,1
1000,1.0,-0.2,-0.9,1,-1,1,0,159,3135,0,3135,7.9,1
1001,1.0,-0.2,-0.9,-1,1,0,0,129,0,3158,-3158,6.3,1
1002,0.8,-0.6,-0.3,-1,1,0,0,151,0,1783,-1783,17.0,1
1002,0.4,-0.4,-0.5,1,-1,1,0,138,3673,0,3673,4.8,1
1000,0.4,-0.4,-0.5,1,-1,1,0,188,4460,0,4460,10.8,1
1002,1.0,-0.2,-0.9,-1,1,0,0,110,0,1001,-1001,13.5,1
1001,0.4,-0.4,-0.5,-1,1,0,0,141,0,3487,-3487,15.5,1
1002,0.6,-0.4,-0.7,1,-1,1,0,148,2920,0,2920,6.0,1
1000,0.6,-0.2,-0.7,1,-1,1,0,182,3078,0,3078,9.5,1
1000,0.6,-0.4,-0.7,1,-1,1,0,218,4165,0,4165,20.9,1
1001,0.6,-0.4,-0.7,1,-1,1,0,193,5395,0,5395,19.2,1
1000,0.6,-0.6,-0.9,1,-1,1,0,131,2636,0,2636,5.0,1
1001,0.6,-0.6,-0.9,-1,1,0,0,140,0,3102,-3102,10.9,1
1001,0.6,-0.2,-0.7,-1,1,0,0,254,0,532,-532,23.6,1
1002,0.2,-0.4,-0.1,-1,1,0,0,479,0,1032,-1032,67.6,1
1002,0.6,-0.6,-0.9,1,-1,1,0,159,3358,0,3358,14.5,1
1000,1.0,-0.2,-0.3,1,-1,1,0,156,3788,0,3788,10.1,1
1002,1.0,-0.2,-0.3,1,-1,1,0,131,3505,0,3505,9.0,1
1000,0.2,-0.8,-0.5,1,-1,1,0,137,3467,0,3467,8.0,1
1001,1.0,-0.2,-0.3,-1,1,0,0,153,0,657,-657,13.6,1
1000,0.8,-0.6,-0.1,-1,1,0,0,126,0,659,-659,4.6,1
1001,0.2,-0.8,-0.5,1,-1,1,0,152,3823,0,3823,8.3,1
1001,0.8,-0.6,-0.1,-1,1,0,0,109,0,636,-636,6.3,1
